denuncia_numero;fecha;hora;mins;hecho_provincia;hecho_municipio;hecho_localidad;hecho_discriminacion;hecho_irregularidades;hecho_lugar;hecho_cometido_por;hecho_tipo_violencia;hecho_accion_realizada;denuncia_estado;denuncia_fecha_cambio_estado;denuncia_via_ingreso;denuncia_fecha_hora_carga;hecho_provincia_id
32;15/1/2011;3;0;Chubut;Trelew;TRELEW;Por aspecto físico;El personal de control no esta identificado;;Personal de empresas de seguridad;;;Derivado;28/2/2011;Página web de RENCAP ;26/2/2011 20:55;26
33;25/12/2010;6;0;Santiago del Estero;Sachayoj;SACHAYOJ;;;En el interior del local;Policias;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;28/2/2011;Call Center;28/2/2011 16:50;86
34;25/12/2010;6;0;Santiago del Estero;Sachayoj;SACHAYOJ;;;En el interior del local;Policias;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;28/2/2011;Call Center;28/2/2011 16:53;86
35;18/9/2010;3;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria - Otros;El personal de control no esta identificado;En el interior del local;Controladores;;;Derivado;2/3/2011;Call Center;1/3/2011 16:07;2
36;8/10/2010;3;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por orientacion sexual - Otros;;En el interior del local;Controladores;Agresión verbal - Agresión física;;Derivado;2/3/2011;Call Center;2/3/2011 10:04;2
37;6/3/2011;2;30;Buenos Aires;Almirante Brown;Glew;Otros;;En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;9/3/2011;Call Center;9/3/2011 14:37;6
38;8/3/2011;3;30;Buenos Aires;General Pueyrredón;Mar del Plata;;;En el interior del local;Personal de empresas de seguridad;Agresión física;Se solicitó asistencia policial;Derivado;10/3/2011;Call Center;10/3/2011 09:23;6
39;12/2/2011;6;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Personas vinculadas a la empresa;Agresión sexual;;Derivado;15/3/2011;Call Center;10/3/2011 19:20;2
40;5/3/2011;2;0;Buenos Aires;General Pueyrredón;Mar del Plata;Por aspecto físico - Otros;;;;;;Desestimado;3/12/2014;Call Center;10/3/2011 20:51;6
41;31/12/2010;2;30;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por aspecto físico;;En el acceso local;Controladores - Personas vinculadas a la empresa;;;Derivado;11/3/2011;Call Center;11/3/2011 16:44;2
42;12/3/2011;2;30;Ciudad Autónoma de Buenos Aires;Barrio Villa Devoto;;Por indumentaria;;;;;;Derivado;14/3/2011;Call Center;13/3/2011 04:50;2
43;13/3/2011;4;30;Buenos Aires;Villa Gesell;Villa Gesell;Por aspecto físico - Otros;;;;;;Derivado;15/3/2011;Call Center;13/3/2011 04:54;6
44;16/2/2011;2;30;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;Por aspecto físico - Otros;;En el acceso local;Controladores;;;Derivado;15/3/2011;Call Center;14/3/2011 16:28;2
45;6/2/2011;2;30;Buenos Aires;General Pueyrredón;Mar del Plata;Otros;;En el acceso local;Controladores;;;Derivado;16/3/2011;Call Center;16/3/2011 10:54;6
46;12/3/2011;12;30;Buenos Aires;Vicente López;Olivos;;;En las proximidades del local;Controladores;Agresión física;;Derivado;16/3/2011;Call Center;16/3/2011 11:31;6
47;6/3/2011;5;30;Buenos Aires;Lomas de Zamora;Banfield;;;En el interior del local;Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;21/3/2011;Call Center;18/3/2011 17:30;6
48;18/3/2011;18;40;Buenos Aires;Castelli;Castelli;;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión física;;Derivado;21/3/2011;Call Center;18/3/2011 18:41;6
49;20/3/2011;2;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria;;En el acceso local;Personas vinculadas a la empresa;;;Derivado;21/3/2011;Call Center;20/3/2011 16:30;2
50;20/3/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;;;;;;Derivado;21/3/2011;Página web de RENCAP ;20/3/2011 22:38;2
51;20/3/2011;3;20;Ciudad Autónoma de Buenos Aires;Barrio Retiro;;Otros;;En el acceso local;Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión física;Se hizo denuncia policial;Derivado;21/3/2011;Call Center;20/3/2011 23:17;2
52;20/3/2011;3;30;Ciudad Autónoma de Buenos Aires;Barrio Retiro;;;;En el interior del local - En las proximidades del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;21/3/2011;Call Center;21/3/2011 00:37;2
53;19/3/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria - Otros;;;;;;Derivado;21/3/2011;Página web de RENCAP ;21/3/2011 09:53;2
54;20/3/2011;2;15;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;21/3/2011;Página web de RENCAP ;21/3/2011 11:37;2
55;19/3/2011;4;0;Mendoza;Luján de Cuyo;LUJAN DE CUYO;;;En el interior del local;Controladores;Agresión verbal - Agresión física;Se solicitó asistencia policial - Se hizo denuncia policial;Derivado;21/3/2011;Call Center;21/3/2011 15:56;50
56;19/3/2011;23;0;Buenos Aires;Hurlingham;Hurlingham;Otros;;;;Agresión verbal - Agresión física;;Derivado;23/3/2011;Call Center;22/3/2011 09:07;6
57;24/3/2011;1;0;Buenos Aires;Morón;Haedo;Por aspecto físico;;En el acceso local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;;;Derivado;28/3/2011;Call Center;24/3/2011 14:25;6
58;26/3/2011;2;30;Ciudad Autónoma de Buenos Aires;Barrio Caballito;;Por aspecto físico;;En el acceso local;Personal de empresas de seguridad;Agresión verbal;;Derivado;28/3/2011;Call Center;26/3/2011 10:34;2
59;23/3/2011;23;3;Buenos Aires;La Matanza;Ramos Mejía;Otros;;En el interior del local;Personal de empresas de seguridad;;;Derivado;28/3/2011;Call Center;26/3/2011 14:15;6
60;25/3/2011;0;0;Ciudad Autónoma de Buenos Aires;- Gobierno Provincial -;;Otros;;En el acceso local;Personas vinculadas a la empresa;;;Derivado;28/3/2011;Call Center;26/3/2011 15:18;2
61;27/3/2011;5;0;Buenos Aires;Tres de Febrero;;;;En el interior del local;Personal de empresas de seguridad;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;28/3/2011;Call Center;27/3/2011 22:33;6
62;25/3/2011;23;0;Entre Ríos;Concordia;CONCORDIA;Otros;;En el acceso local;Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias;;Se hizo denuncia policial;Derivado;29/3/2011;Call Center;28/3/2011 18:34;30
63;28/3/2011;10;15;Buenos Aires;San Fernando;Virreyes;Otros;;En las proximidades del local;;Agresión verbal;;Desestimado;30/3/2011;Call Center;28/3/2011 19:00;6
64;26/3/2011;23;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Personal de empresas de seguridad - Personas vinculadas a la empresa;;;Derivado;30/3/2011;Call Center;29/3/2011 17:36;2
65;27/3/2011;4;0;Buenos Aires;Villa Gesell;Villa Gesell;;;En el interior del local - En el acceso local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;31/3/2011;Call Center;31/3/2011 16:36;6
66;22/11/2010;2;0;Santa Fe;Rosario;Rosario;Por aspecto físico;;En el interior del local;Controladores;;;Derivado;1/4/2011;Call Center;1/4/2011 11:09;82
67;1/4/2011;1;10;Santa Fe;Rosario;Rosario;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;1/4/2011;Call Center;1/4/2011 11:12;82
68;3/4/2011;5;30;Buenos Aires;La Plata;La Plata;;;En el acceso local;;Agresión física;;Derivado;4/4/2011;Página web de RENCAP ;4/4/2011 16:16;6
69;2/4/2011;2;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Otros;;;;;;Derivado;5/4/2011;Página web de RENCAP ;5/4/2011 12:57;2
70;2/4/2011;5;30;Buenos Aires;Tigre;Don Torcuato;;;En el interior del local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;5/4/2011;Call Center;5/4/2011 13:53;6
71;2/4/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por indumentaria;El personal de control no esta identificado;En el acceso local;Personas vinculadas a la empresa;Agresión física;;Derivado;7/4/2011;Call Center;6/4/2011 16:30;2
72;27/3/2011;4;0;Buenos Aires;Villa Gesell;Villa Gesell;;;En el interior del local - En el acceso local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;8/4/2011;Call Center;8/4/2011 12:28;6
73;9/4/2011;0;30;Buenos Aires;General San Martín;Gral. San Martín;Por aspecto físico;;En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;11/4/2011;Call Center;9/4/2011 16:16;6
74;10/4/2011;3;15;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores;;;Desestimado;11/4/2011;Call Center;10/4/2011 17:09;2
75;9/4/2011;1;0;Buenos Aires;Lomas de Zamora;Lomas de Zamora;Por indumentaria;;En el acceso local;Controladores;;;Derivado;11/4/2011;Call Center;11/4/2011 10:51;6
76;10/4/2011;1;30;Santa Fe;Rosario;Rosario;Por orientacion sexual;;En el acceso local;Controladores;Agresión verbal;;Derivado;11/4/2011;Call Center;11/4/2011 14:34;82
77;11/4/2011;4;11;Buenos Aires;Esteban Echeverría;Monte Grande;;No exhibe nomina de personal de control habilitado;En el acceso local;Controladores;Agresión física;Se hizo denuncia policial;Derivado;12/4/2011;Call Center;12/4/2011 10:42;6
78;16/4/2011;4;20;Buenos Aires;La Plata;La Plata;Por indumentaria;;En el acceso local;Controladores;;;Derivado;18/4/2011;Call Center;16/4/2011 05:15;6
79;16/4/2011;2;0;Buenos Aires;General San Martín;Gral. San Martín;Por aspecto físico - Por indumentaria;;;;;;Derivado;18/4/2011;Call Center;18/4/2011 12:02;6
80;16/4/2011;22;0;Buenos Aires;Hurlingham;;Por aspecto físico;;En el acceso local - En las proximidades del local;Controladores;Agresión verbal;;Desestimado;3/12/2014;Call Center;18/4/2011 20:02;6
81;16/4/2011;22;0;Buenos Aires;Hurlingham;Hurlingham;Por aspecto físico;;En el acceso local;;Agresión verbal;;Derivado;20/4/2011;Call Center;19/4/2011 19:20;6
82;8/4/2011;0;45;Santa Fe;Rafaela;Rafaela;Por aspecto físico;;;;;;Derivado;25/4/2011;Página web de RENCAP ;21/4/2011 11:54;82
83;17/4/2011;1;0;Buenos Aires;San Isidro;Martinez;Otros;;En el acceso local;Personal de empresas de seguridad;Agresión verbal;;Derivado;25/4/2011;Call Center;22/4/2011 18:43;6
84;18/4/2011;6;25;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local - En el acceso local;Controladores;Agresión física;;Derivado;28/4/2011;Call Center;22/4/2011 19:24;2
85;23/4/2011;3;0;Buenos Aires;La Matanza;Ramos Mejía;;El personal de control no esta identificado;En el interior del local;Controladores;Agresión verbal - Agresión física;;Derivado;25/4/2011;Call Center;23/4/2011 12:27;6
86;21/4/2011;6;0;Ciudad Autónoma de Buenos Aires;Barrio Villa Devoto;;Por aspecto físico;;En el acceso local;Controladores;Agresión verbal - Agresión física;;Derivado;28/4/2011;Call Center;23/4/2011 14:50;2
87;23/4/2001;5;0;Ciudad Autónoma de Buenos Aires;Barrio Retiro;;;Hay mas personas que las permitidas por la habilitación;En el interior del local;Controladores;Agresión verbal - Agresión física;;Derivado;28/4/2011;Call Center;23/4/2011 22:50;2
88;24/4/2011;3;50;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Otros;;En el interior del local;Controladores;;;Desestimado;17/5/2011;Call Center;24/4/2011 04:34;2
89;24/4/2011;3;50;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Otros;;En el interior del local;Controladores;;;Desestimado;25/4/2011;Call Center;24/4/2011 05:03;2
90;23/4/2011;6;0;Buenos Aires;General Pueyrredón;Mar del Plata;;;En el acceso local;Controladores;Agresión física;;Derivado;26/4/2011;Call Center;26/4/2011 12:07;6
91;29/4/2011;2;30;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Retiro;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores;Agresión verbal;;Derivado;2/5/2011;Call Center;30/4/2011 11:40;2
92;1/5/2011;1;40;Ciudad Autónoma de Buenos Aires;Barrio Villa Devoto;;Otros;No exhibe condiciones de adminsión y permanencia - Presencia de menores;;;Agresión verbal;;Derivado;2/5/2011;Página web de RENCAP ;1/5/2011 02:40;2
93;23/3/2011;1;0;Buenos Aires;Morón;Haedo;Otros;El personal de control no esta identificado - Presencia de menores;;;;;Derivado;2/5/2011;Página web de RENCAP ;1/5/2011 14:03;6
94;1/5/2011;4;0;Santiago del Estero;Santiago del Estero;SANTIAGO DEL ESTERO;Por aspecto físico;;En el interior del local - En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;2/5/2011;Call Center;2/5/2011 12:17;86
95;27/3/2011;5;30;Buenos Aires;General San Martín;Villa Gral. San Martín;;;En el interior del local;Controladores;Agresión física;;Derivado;4/5/2011;Call Center;3/5/2011 14:20;6
96;30/4/2011;3;20;Buenos Aires;Tigre;Tigre;;;En el interior del local;Personal de empresas de seguridad;Agresión verbal - Agresión física;;Derivado;4/5/2011;Página web de RENCAP ;4/5/2011 00:46;6
97;8/5/2011;0;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;9/5/2011;Call Center;8/5/2011 15:12;2
98;1/5/2011;3;0;Buenos Aires;Morón;Haedo;;;En el interior del local;Controladores;;;Derivado;10/5/2011;Call Center;9/5/2011 15:57;6
99;7/5/2011;0;30;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;Por aspecto físico;;En el acceso local;Controladores - Personal de empresas de seguridad;;;Derivado;10/5/2011;Call Center;9/5/2011 20:11;2
100;7/5/2011;22;0;Buenos Aires;General San Martín;Gral. San Martín;Por aspecto físico - Por indumentaria;;En el acceso local;Personal de empresas de seguridad;Agresión verbal;;Derivado;11/5/2011;Call Center;10/5/2011 19:16;6
101;7/5/2011;20;0;Ciudad Autónoma de Buenos Aires;Barrio Caballito;;Otros;El personal de control no esta identificado;En el interior del local - En el acceso local;Controladores;;;Derivado;12/5/2011;Call Center;10/5/2011 19:45;2
102;12/2/2011;22;0;Buenos Aires;Saavedra;Saavedra;Por aspecto físico - Por indumentaria;;En el acceso local - En las proximidades del local;Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;12/5/2011;Call Center;10/5/2011 19:46;6
103;9/5/2011;6;0;Buenos Aires;Lanús;Lanús;;;En las proximidades del local;Controladores;Agresión física;Se hizo denuncia policial;Derivado;11/5/2011;Call Center;11/5/2011 10:37;6
104;7/5/2011;4;45;Buenos Aires;Tigre;Tigre;Otros;;En el interior del local - En el acceso local - En las proximidades del local;Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;16/5/2011;Página web de RENCAP ;13/5/2011 15:07;6
105;14/5/2011;1;30;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores;Agresión verbal;;Derivado;17/5/2011;Call Center;16/5/2011 20:28;2
106;15/5/2011;4;0;Buenos Aires;San Isidro;Martinez;;;En el acceso local - En las proximidades del local;Controladores;Agresión verbal - Agresión física;;Derivado;17/5/2011;Call Center;17/5/2011 15:34;6
107;5/1/2011;2;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores - Personas vinculadas a la empresa;;;Derivado;20/5/2011;Página web de RENCAP ;19/5/2011 00:47;2
108;13/5/2011;3;45;Ciudad Autónoma de Buenos Aires;Barrio San Nicolás;;;;En el interior del local;Controladores;;;Derivado;27/5/2011;Call Center;27/5/2011 11:00;2
109;21/5/2011;0;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;27/5/2011;Call Center;27/5/2011 11:40;2
110;25/5/2011;2;30;Buenos Aires;Tigre;Tigre;;;En el acceso local;Controladores;Agresión física;;Derivado;30/5/2011;Call Center;27/5/2011 15:56;6
111;14/5/2011;0;30;Buenos Aires;San Miguel;San Miguel;;;En el interior del local;Personas vinculadas a la empresa;;;Derivado;30/5/2011;Call Center;30/5/2011 10:43;6
112;29/5/2011;1;0;Buenos Aires;Vicente López;Olivos;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores;Agresión verbal;;Derivado;30/5/2011;Call Center;30/5/2011 10:45;6
113;30/5/2011;12;45;Buenos Aires;Almirante Brown;Almte. Brown (Adrogué);Por aspecto físico;;En el acceso local;Controladores;;;Derivado;31/5/2011;Call Center;31/5/2011 11:31;6
114;28/5/2011;6;0;Ciudad Autónoma de Buenos Aires;Barrio San Nicolás;;;;En el interior del local;Controladores;Agresión física;;Derivado;2/6/2011;Call Center;1/6/2011 14:40;2
115;6/4/2011;3;45;Chubut;Comodoro Rivadavia;COMODORO RIVADAVIA;;;En el interior del local;Controladores;Agresión física;Se hizo denuncia policial;Derivado;6/6/2011;Página web de RENCAP ;4/6/2011 16:55;26
116;4/6/2011;5;0;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Capital Federal;;El personal de control no esta identificado;En el interior del local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;6/6/2011;Call Center;5/6/2011 16:33;2
117;27/3/2011;5;30;Buenos Aires;Marcos Paz;Marcos Paz;;;En el interior del local;Personas vinculadas a la empresa;Agresión física;;Derivado;8/6/2011;Call Center;7/6/2011 16:34;6
118;3/6/2011;21;52;Buenos Aires;La Matanza;Tapiales;;El personal de control no esta identificado;En el acceso local;Controladores;Agresión física;;Derivado;8/6/2011;Call Center;7/6/2011 16:36;6
119;28/5/2011;5;0;Ciudad Autónoma de Buenos Aires;Barrio San Cristóbal;;;;En el interior del local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;8/6/2011;Call Center;8/6/2011 13:35;2
120;10/6/2011;1;0;Buenos Aires;General San Martín;San Andrés;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - Presencia de menores;En el acceso local;Controladores;Agresión verbal - Agresión física;;Desestimado;10/6/2011;Call Center;10/6/2011 10:26;6
121;12/6/2011;2;0;Córdoba;Río Segundo;RIO SEGUNDO;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores - Policias;;Se solicitó asistencia policial;Derivado;13/6/2011;Call Center;13/6/2011 12:58;14
122;12/6/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Racial;;En el acceso local;Controladores;;;Derivado;14/6/2011;Call Center;13/6/2011 13:42;2
123;12/6/2011;3;30;Buenos Aires;La Matanza;G. de Laferrere;Por orientacion sexual;;En el interior del local;Controladores;Agresión verbal;;Desestimado;16/6/2011;Call Center;15/6/2011 15:06;6
124;11/6/2011;4;0;Buenos Aires;La Matanza;G. de Laferrere;Por orientacion sexual;;En el interior del local - En el acceso local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión verbal;;Derivado;16/6/2011;Página web de RENCAP ;15/6/2011 18:23;6
125;16/6/2011;11;0;Buenos Aires;Quilmes;San F. Solano;;;En el interior del local;Controladores;Agresión verbal - Agresión física;;Derivado;17/6/2011;Call Center;17/6/2011 13:31;6
126;19/6/2011;1;30;Santa Fe;Santa Fe;Santa Fe;Por indumentaria;;En el acceso local;Policias;;;Derivado;21/6/2011;Call Center;19/6/2011 01:54;82
127;17/6/2011;4;20;San Juan;San Juan;SAN JUAN;Por aspecto físico;;En el interior del local;Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;21/6/2011;Call Center;21/6/2011 01:26;70
128;19/6/2011;4;0;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;;El personal de control no esta identificado;En el interior del local - En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;22/6/2011;Call Center;21/6/2011 16:05;2
129;17/6/2011;0;30;Buenos Aires;Quilmes;San F. Solano;Por aspecto físico - Por orientacion sexual - Por indumentaria;;En el interior del local;Controladores - Personal de empresas de seguridad;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;24/6/2011;Página web de RENCAP ;23/6/2011 19:36;6
130;17/6/2011;0;30;Buenos Aires;Quilmes;San F. Solano;Por aspecto físico - Por orientacion sexual;;En el interior del local - En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;24/6/2011;Página web de RENCAP ;23/6/2011 19:39;6
131;26/6/2011;6;0;Buenos Aires;La Plata;La Plata;Por aspecto físico;El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia;En el interior del local - En las proximidades del local;Controladores;Agresión física;;Derivado;27/6/2011;Call Center;26/6/2011 08:29;6
132;26/6/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio Villa Devoto;;Por aspecto físico;;En el acceso local;Controladores;Agresión verbal;;Derivado;27/6/2011;Call Center;26/6/2011 18:16;2
133;26/6/2011;1;0;Buenos Aires;General San Martín;Gral. San Martín;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;29/6/2011;Call Center;27/6/2011 18:02;6
134;26/6/2011;2;0;Buenos Aires;La Plata;La Plata;Por aspecto físico;;En el acceso local;Controladores - Personas vinculadas a la empresa;;;Derivado;28/6/2011;Call Center;28/6/2011 13:18;6
135;1/7/2011;11;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;En el acceso local;Controladores;Agresión verbal;;Derivado;7/7/2011;Call Center;2/7/2011 13:17;2
136;7/1/2011;23;30;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Palermo;;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;7/7/2011;Página web de RENCAP ;2/7/2011 16:39;2
